Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,derives from,has abbreviation,has address,has affiliation,has altitude,has associated publication,has biological material,has BrAPI synonym,has collection date,has contact institution,has country,has country code,has country of origin,has cultural practices,has data file,has database identifier,has date-time,has description,has digital location,has DOI,has e-mail contact,has end date-time,has entry number,has entry type,has environment,has environment parameter,has event,has exact synonym,has experimental design,has experimental design map,has external identifier,has factor,has factor value,has genus,has germplasm accession number,has growth facility,has identifier,has infraspecific name,has institute code,has internal identifier,has ISA synonym,has latitude,has license,has location,has longitude,has material identifier,has material source,has method,has MIAPPE synonym,has MIAPPE version,has modality,has name,has observation,has observation level,has observation level hierarchy,has observation unit description,has observed subject,has ontology recommendation,has part,has participating institution,has person with role,has plant anatomical entity,has plant structure development stage,has preprocessing,has public release date,has related synonym,has role,has scale,has season,has spatial distribution,has spatial distribution type,has species,has species authority,has start date-time,has sublevel,has submission date,has subtaxon,has subtaxon authority,has superlevel,has taxon identifier,has time scale,has trait,has type,has uncertainty,has value,has variable,has version,http://data.bioontology.org/metadata/prefixIRI,http://purl.org/dc/elements/1.1/creator,is active,is modality of,is role of,is role of person in,is subject of observation,part of
http://purl.org/ppeo/PPEO.owl#investigation,"[""investigation""]",trial,"A research programme with defined aims, which can vary in scale from a single experiment, to a grant-funded programme or various components comprising a peer-reviewed publication.",false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:investigation,,,,,,,
http://purl.org/ppeo/PPEO.owl#growth_facility,"[""growth facility""]",,"A facility in which plants can be grown, such as a field or greenhouse.",false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:growth_facility,,,,,,,
http://purl.org/ppeo/PPEO.owl#study,"[""study""]",,"A study (or experiment) comprises a series of assays (or measurements) of one or more types, undertaken to answer a particular biological question.
It is recommended that a Study have a description.",false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:study,,,,,,,
http://purl.org/ppeo/PPEO.owl#spatial_coordinate,"[""spatial coordinate""]",,,false,,,http://purl.org/ppeo/PPEO.owl#spatial_distribution_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:spatial_coordinate,,,,,,,
http://purl.org/ppeo/PPEO.owl#material_source,"[""material source""]",,An organism from which the organism(s) used in the study were derived. It should be identified with a unique external identifier (such as germplasm accession number) and possibly a DOI.,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:material_source,,,,,,,
http://purl.org/ppeo/PPEO.owl#location,"[""location""]",,"A physical location, typically on planet Earth, identified by GPS coordinates and/or name and address.",false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:location,,,,,,,
http://purl.org/ppeo/PPEO.owl#observation,"[""observation""]",,,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:observation,,,,,,,
http://purl.org/ppeo/PPEO.owl#sample,"[""sample""]",,,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:sample,,,,,,,
http://purl.org/ppeo/PPEO.owl#spatial_distribution,"[""spatial distribution""]",,,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:spatial_distribution,,,,,,,
http://purl.org/ppeo/PPEO.owl#data_file,"[""data file""]",,A description of and link to a file or data stream holding some or all of the data described by the MIAPPE submission.,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:data_file,,,,,,,
http://purl.org/ppeo/PPEO.owl#trait,"[""trait""]",,Name of the (plant or environmental) trait under observation,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:trait,,,,,,,
http://purl.org/ppeo/PPEO.owl#environment,"[""environment""]",,The set of environmental parameters or experimental conditions that were kept constant during the study and did not change betweeen observation units or assays.,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:environment,,,,,,,
http://purl.org/ppeo/PPEO.owl#observed_variable,"[""observed variable""]",observation variable,,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,observation variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:observed_variable,,,,,,,
http://purl.org/ppeo/PPEO.owl#person,"[""person""]",,,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:person,,,,,,,
http://purl.org/ppeo/PPEO.owl#scale,"[""scale""]",,,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:scale,,,,,,,
http://purl.org/ppeo/PPEO.owl#observation_unit,"[""observation unit""]",,,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,experiment unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:observation_unit,,,,,,,
http://purl.org/ppeo/PPEO.owl#factor,"[""factor""]",,"A condition that varies between observation units, by taking different values or modalities, assessing the effect of which is the goal of the study. A factor may be biotic (pest, disease interaction) or abiotic (treatment, cultural practice) in nature. It must have at least two values or modalities.",false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:factor,,,,,,,
